# UUID: ed2ee35b-410a-4cde-b8cb-d0797a23cc2e
# Label: p
0, -3711, 510
0, -3587, 511
0, -3463, 511
0, -3339, 511
0, -3214, 511
0, -3084, 512
0, -2959, 511
0, -2835, 511
0, -2711, 511
0, -2587, 511
0, -2463, 511
0, -2338, 511
0, -2214, 510
0, -2083, 511
0, -1959, 512
0, -1835, 512
0, -1711, 511
0, -1586, 511
0, -1462, 508
0, -1338, 510
0, -1214, 511
0, -1083, 510
0, -959, 511
0, -835, 511
0, -710, 511
0, -586, 511
0, -462, 511
0, -338, 510
0, -214, 510
0, -83, 510
0, 42, 510
0, 167, 512
0, 291, 509
0, 415, 515
0, 539, 510
0, 664, 506
0, 788, 513
0, 919, 525
0, 1043, 513
0, 1167, 488
0, 1292, 492
0, 1416, 510
0, 1540, 535
0, 1665, 540
0, 1789, 540
0, 1920, 535
0, 2044, 497
0, 2168, 439
0, 2292, 428
0, 2417, 469
0, 2543, 525
0, 2667, 554
0, 2791, 547
0, 2920, 537
0, 3044, 535
0, 3168, 537
0, 3292, 534
0, 3417, 525
0, 3543, 510
0, 3667, 513
0, 3791, 538
0, 3920, 558
0, 4044, 558
0, 4168, 532
0, 4293, 500
0, 4417, 486
0, 4540, 465
0, 4665, 430
0, 4789, 402
0, 4920, 414
0, 5044, 466
0, 5168, 523
0, 5293, 558
0, 5417, 563
0, 5540, 552
0, 5665, 531
0, 5789, 501
0, 5920, 484
0, 6044, 487
0, 6168, 498
0, 6293, 512
0, 6417, 515
0, 6541, 503
0, 6665, 481
0, 6789, 466
0, 6920, 465
0, 7044, 480
0, 7168, 495
0, 7293, 502
0, 7417, 507
0, 7541, 519
0, 7665, 530
0, 7789, 527
0, 7920, 510
0, 8044, 499
0, 8169, 498
0, 8293, 505
0, 8417, 514
0, 8541, 529
0, 8665, 554
0, 8789, 572
0, 8920, 578
0, 9044, 574
0, 9169, 562
0, 9293, 544
0, 9417, 519
0, 9541, 504
0, 9665, 501
0, 9789, 513
0, 9915, 527
0, 10039, 537
0, 10163, 544
0, 10288, 551
0, 10412, 554
0, 10536, 547
0, 10660, 539
0, 10785, 530
0, 10910, 526
0, 11035, 518
0, 11159, 508
0, 11283, 502
0, 11407, 501
0, 11532, 508
0, 11656, 516
0, 11780, 525
0, 11905, 531
0, 12029, 533
0, 12153, 530
0, 12278, 525
0, 12402, 513
0, 12527, 499
0, 12652, 484
0, 12776, 484
0, 12902, 498
0, 13026, 513
0, 13150, 524
0, 13275, 532
0, 13399, 537
0, 13523, 534
0, 13647, 526
0, 13772, 515
0, 13896, 516
0, 14020, 525
